,prompt,sentence
1641,3030,"It had been like this ever since the end of the building, except that, since only soldiers knew about the soldiers' guard, they rarely were spoken of. At the very least, they only occasionally showed up at the village gates, keeping the smaller vampires at bay. The only other time they did so was when one of them killed a vampire. It was unknown why Lillian was not willing to simply walk away, however. ""Lillian,"" Jamie said. Her hand touched my elbow. She couldn't stay. She was being reckless, impulsive."
1658,3030,"It had been like this ever since the end of the 19th century. Lenin in his text, The Proletarian Revolution and the Renegade Kautsky, spoke of ""one stage of the proletarian revolution, but a very progressive one, in order to shorten the period of dictatorship of the proletariat. One stage on one condition, namely that the bourgeoisie remains in power."" The revolution had to proceed in three stages: First, the partial conquests of the working class, followed by ""the seizure of power,"" then the attainment of complete democracy and then finally """
1634,3030,"It had been like this ever since the end of college. It was simply a fact of life in this house. Even when they would spar at the kitchen table with their former sparring partner, Josephine's meals would still be shared with Chen Chang Sheng, whether or not they were really friends. It was as if if there were two different lives of two different people living in this one house. If you were to inquire about the details of the quarrel, no one could provide an answer."
1734,3131,"When he first began, the best thing about my dad was his strong belief that art was part of humanity. Because of my father, my life is one of imagination. When I started, I asked my father to draw me. He told me that the best way to get better was to see if you could draw. So, he sent me a drawing of a character, I called him ""Boom Boom."" He said, ""You can be this character as long as you draw him to this shape, all the way from head to toe."
1738,3131,"When he first began, the best thing about my dad was his sense of humor. Then the ""tell the truth"" thing didn't work. That's not to say he was anyone but the best-intentioned guy I know. I miss him and our times together, and I can't believe he's gone. *** Vikings @ Bears Storyline: It's been a rough couple of weeks for a Bears team that has been eliminated from playoff contention in back-to-back weeks. The Bears are still fighting for their playoff lives, and Brandon Marshall's concussion gave them a massive boost."
1690,3131,"When he first began, the best thing about my dad was he was honest. He'd always say, 'Yeah, that was worth that long lead time.' And I'd go, 'No, it wasn't, dad. That's not how it works.'"" A few stories along those lines, followed by an anecdote about how he once drove on a section of the Trans-Canada Highway to and from a road race, and after returning the gun, the company mail carrier saw a note from one of the company's suppliers saying, ""Check out that new R/C Buggy."" ""My dad was a badass,"""
1742,3131,"When he first began, the best thing about my dad was that he kept a firm grip on his work and paid attention to the details, but after a while, he began trying to avoid putting the finishing touches on his work and left us to do it all by ourselves, which only got more frustrating,"" said Nicole. Then one day, one of the last students that had come for her father's session began telling her about an artist who visited his studio, ""Sometimes he even painted with one hand and an electric painting brush on the other."
1708,3131,"When he first began, the best thing about my dad was his honest and hard work. Now, he's a professor at a university,"" Le was one of the youngsters who was not allowed to go on this 'walk' with the EU ambassador. ""What he achieved from now on he would have earned from hard work. And what is the best thing about him? He also saved me a lot of money. Now my sons work at his office in Heiligenkreuz."" The EU, given its budget contribution, made a certain amount of concessions in returning from the brink of financial ruin."
1765,3232,"A beam of light shone from across the tennis court. Suddenly, she sensed someone behind her, turning in her direction. Noticing him, she turned to face him with an attitude of curiosity. She may have thought he was a fan of her earlier match, but he noticed this talent and wanted to test her in a real match. So, there was nobody else, until, suddenly, Chiron pointed to a cupboard with a makeshift ladder. In that cupboard was a figure whom he recognized instantly, but was immediately unwilling to speak to."
1786,3232,"A beam of light shone from across the tennis court. The two warriors turned and saw each other, then they fought. Afterwards, Gwyndolin explained that his nemesis was Skull Face, an older incarnation of the Al Bhed sorcerer. On the night of the fight, Heidnar had sent what he felt was his second sacrificethe Dark Elf historian who had once lived, returned and settled among themto guard the village. Heidnar promised to grant him the sword Beowulf if he could hold back Skull Face and help his people. Three of the Warrior Stones are used in this quest."
1808,3232,A beam of light shone from across the tennis court. The target sat on the bleachers with a stern look on her face. She crossed her arms and gritted her teeth as she watched the ball fly past her. She swung at the ball but it missed. Her partner to her right pouted as they watched the same ball go flying past their table. They glared at each other before play resumed. The target was an easy going ball of light. The other two ball not so much. They were fast but had trouble playing defense.
1811,3232,"A beam of light shone from across the tennis court. ... It left the ball wildly swinging and filled her with a strong temptation. She ran in. A team of soldiers patrolled the court. She was nervous, but they did not treat her like a troublemaker. Instead, she learned to be patient with them. After all, their only goal was to show off their skills. In the end, she realized that the soldiers were no longer focused on her as an enemy. ""You see?"" One of the men said, touching her arm. """
1817,3232,"A beam of light shone from across the tennis court. I was met with the impression of someone who, after taking on the scope of her entire life, was now in the midst of putting it on the shelf. As soon as she saw me, she was quick to close the distance. Now it was my turn to act suspicious. I sat back in my chair, my expression full of suspicion. I am a traitor and am plotting with a group of scum! This must be a bad dream! However, she was still speaking. """
1853,3333,""" Maxwell, is it? "" I asked without shifting in his seat, but he just laughed. ""That's ridiculous. Maxwell, just back off."" He grinned like a punk. ""Hey, you don't even know me!"" "" I don't know either."" I didn't even want to bother with what he meant. ""And tell me,"" I said, shaking my head, ""do you know who I am?"" The man smiled again. ""There's been a lot of names introduced to you."" """
1892,3333,""" Maxwell, is it? "" I asked without shifting in my seat, but she just waved away my question with a gracious laugh. ""Well, my guys told me when I was little, that I was a natural born troublemaker, so they let me do the school things they thought I might do, just to keep me from becoming an angel of mercy and just to watch my back while they did other, more important things. """
1864,3333,""" Maxwell, is it? "" I asked without shifting in my seat, something I have never done as a driver in a modern car. ""There's a solution,"" he said. ""I can just take the wheel and wait for a Lyft."" Then I asked if he had previously used Uber for this purpose, in order to catch the tail end of a rush. He said he had, but for a long time, Lyft ""got close to beating Uber in terms of takeaways"""
1832,3333,""" Maxwell, is it? "" I asked without shifting in my seat. "" I think it's a better question than 'How can I come up with something like this?"" ""Did you take some time to consider?"" asked the girl, looking at her dinner in curiosity. ""I...hmm,"" she hummed thoughtfully, ""I think I have a rough idea of what I need to do. I think I'd better take my time, though."" ""OK,"" said Mr. Davis, ""you can follow me."
1866,3333,""" Maxwell, is it? "" I asked without shifting in my seat, "" the thing is still upstairs? I don't believe it is."" The enforcer turned his attention to the sheer size of the table; it was indeed massive, more so than the reception desk. The atmosphere chilled as she spoke, in anticipation of the food and drink that would soon be waiting for her. The young servant girl nodded with a slight smile, """
1924,3434,"Melanie doesn't like to be in public. It's an effort to avoid being distracted. She lives in a house that hides behind bushes and deep undergrowth. The house is decorated with heavily carvied wooden paneling and white cement walls and ceilings. Her cellar looks like something from the Depression-era, when houses were dusty and dirty and the laundry was not washed. The place feels lonely and hopeless. A little girl, hugging her favourite stuffed animal, goes on long walks and might call out from under the bush."
1960,3434,"Melanie doesn't like to be in public. It's an effort to let people know she's even better off here. ""I don't want people to think she is cool because she's being so coy, but what would happen if people knew she was this good-looking?"" For Binson and Peyronnin, ""Temptation"" is also about much more than just romance. The two also know how to convey that with comedy, but sometimes the humor comes at the expense of the woman behind the scenes."
1898,3434,"Melanie doesn't like to be in public. It's an effort to preserve her privacy. As a result, you rarely see her in public places, or a restaurant. She prefers a secluded spot where the noise and distraction will diminish. That's why last summer I went to Richmond, Virginia to visit her at her home. It took two days and numerous flights on long-haul flights to get there. It was like traveling to Beijing, and after returning the morning of the second day, I couldn't stop thinking about the trip."
1914,3434,"Melanie doesn't like to be in public. It's an effort to hide that she's secretly very affectionate with her sister and she's comfortable allowing her to show that affection, which is what does her character the most justice. Later, as Melanie tries to become a rich lawyer like her brother, she wants to hide this side of herself and focus on her job in the firm. Her work does this by showing her at her absolute worst and showing how far she's fallen into her self-loathing."
1922,3434,"Melanie doesn't like to be in public. It's an effort to control her appetite and discourage her body from becoming 'too fat'. 'I've been asked for selfies to see if I'm fat, but I feel ugly with all that makeup, and a tired face when I look in the mirror,' she told Everyday Sexism. 'Everyone has their own reason for liking the gym and they say it's a waste of time. That's their opinion. I think everyone should work out regardless of weight or how 'weighty' they think their bodies are."
2031,3535,"""Hi, I'm the new student intern, Lisa Martinez."" Lisa smiled and dropped her backpack. ""Happens to be here to help our professor, Sylvester James, with his research on hermaphroditic serial killers,"" Lisa said, playing with the necklace on her necklace that concealed her real identity. ""Sounds interesting,"" Sylvester commented. He'd caught Lisa's name before the surgery, and while there was a short pause as the classes chatted, it was clear that it was going well. ""Maybe I could help you fill in the gaps?"" Lisa added, her good nature shining through. She's not just some assassin I can just hire off the street."
1982,3535,"""Hi, I'm the new student intern, Lisa Martinez."" Lisa smiled at me and introduced herself. ""So, what brought you to campus?"" I asked. ""We're also the Student Interns for graduate school here at UC Berkeley. And we were starting to interview for a position to replace the really good intern we have for a biology internship,"" Lisa explained. ""Wow,"" I whispered. ""We could use a good intern, don't you think?"" Lisa said, as I gave her a doubtful look. ""The climate here is definitely sombre, as the university used to be. And I'm starting to feel a bit lost,"" she admitted. ""I was hoping you could tell me some pointers."
2029,3535,"""Hi, I'm the new student intern, Lisa Martinez."" Lisa smiled her best ""cute smile, and no, I don't know if you'll remember me from my interview. Maybe the questions were different, I don't remember."" ""What do you do now?"" Phyllis asked. ""I'm a senior in high school,"" Lisa replied. ""Wow, that's awesome! I know that you already have a job and are graduating early."" ""Yeah,"" Lisa added. ""I can't wait to apply to college and do well in my classes. We're very close to her, we go to a lot of classes together. We were always so close to each other."" ""Do you think she would ever date a girl?"
1976,3535,"""Hi, I'm the new student intern, Lisa Martinez."" Lisa smiled at me. ""My class starts in a few minutes and I've been planning on staying at the dorm for a few more weeks. I had a quick question. I'm in a new orientation class, like you, called""Lisa Granger Here, on a Japanese writing class. I'm one of the younger one, as many of my classmates are Korean, or at least some Japanese. Not that I know any of them well, and I'm afraid that wouldn't change much even if they did speak Japanese. The class has a lot of questions, which I honestly can't really answer for them."
2025,3535,"""Hi, I'm the new student intern, Lisa Martinez."" Lisa smiled to herself. ""I've heard so much about the experience at Gordon-Booth University."" ""You don't live there? Where did you get that idea? Were you ever students there?"" ""Well, I used to go to Grimsby and Kilburn High School."" ""They're actually on the same quad? That makes me want to hear the spellings of your schools, eh?"" Lisa nodded, muttering a quick thank you to Rob. ""The magic might be a bit louder in Kilburn High,"" he grinned. ""That means if I'm being completely honest, your spell should be louder in them, don't you think?"" ""Not really."
2065,3636,"The plane swooped lower as they neared the Austin airport. Soon, the Cessna's nose was flying down toward the runway. The guide rattled a controller on the PA and a Hornet overhead immediately began pounding out traffic, trying to establish communication. The navigation system shut off, and the plane veered sharply to the right. As the pair climbed above the clouds and approached the intersection, a private plane appeared out of nowhere on the other side of the runway. Soon the Piper PA-18 was, too. Elvis laid out the hand signals for United Airlines to enter the intersection; they did not."
2108,3636,"The plane swooped lower as they neared the Austin airport. Suddenly, they came to a stop. The Los Angeles Airport was ahead of them and the cabin shook and shook in anticipation. The love potion was out. The plane took off. The airport did not look big. They were the only ones in the sky and there was little traffic. Suddenly, the ground stopped shaking. The aircraft came to a landing. I stood there thinking I had just witnessed the miracle. The two men were standing with their backs to me. I spoke to them for a long time afterwards."
2076,3636,"The plane swooped lower as they neared the Austin airport. ""I can't believe it's about to happen,"" Richardson said. ""But, yeah, this is really crazy."" The plane not only dropped the second strike but also drop a bomb directly on the runway, causing the landing to be aborted and have the entire assembly trapped. An hours-long standoff ensued during which the two hostages were moved several times to outside the plane. By the end, all of the five were on their feet and unharmed, but the plane was damaged. ""It was like the Willy Wonka Factory down here,"" said one witness."
2062,3636,"The plane swooped lower as they neared the Austin airport. Johnson, wearing a black cowboy hat and cowboy boots, carried a scowl on his face. He gave the plane a sideways left hand turn as he waited for me to board. The interior was a sterile space with no signs that the plane had traveled very far and was about to be in a world of trouble. Johnson was a silent man; he took notes, but didn't talk much. But when the plane made the first stop, in Clear Lake, he jumped into the cockpit and led the way into the deep."
2075,3636,"The plane swooped lower as they neared the Austin airport. The front tires seemed to slide in and out, as if in slow motion. The second they were half a mile away, the clutch came up. The plane was under control and flew straight, keeping pace with the incoming cars, at roughly 400 mph. One after another, everyone inside spun out, their systems quitting. The place began to shiver and shake, and many in the ground crew stood holding their arms out like fishermen waving fishing rods. If they had hoped the rest of the airplane wouldn't be so dangerous, they were wrong."
2129,3737,"As I entered the little cafe on the north side of Edinburgh's Royal Mile, I noticed a sign board that bore a striking resemblance to Thomas Edison's Unitarian Church of America sign. It was a ""wellspring of knowledge,"" not to mention an official way to get your coffee without anyone's help. The cafe was owned by an elderly gentleman who had seen the sign by the roadside and had long wished to recreate it at home. He borrowed the Tardis logo from a long-forgotten ""magic bean"" tin. Like the sign, the cafe was a take on a familiar one, using original elements to make something distinctly his own."
2124,3737,"As I entered the little cafe on the north side of the island, a half dozen baristas were lining up a cup of coffee. While I watched, the cook passed around a hand-made tarte tatin and showed off the truffle butter available in that tartan tin. I'm not a tarte tatin aficionado, but I wasn't going to pass up a free tarte tatin. I asked the owner to bring over a few. When the tarte tatin arrived, I just couldn't resist it. I've been searching for a deep-dish mushroom-pizza-cookie crust that isn't too chewy, as I like to think of the crust as an extension of the mushroom and cookie."
2116,3737,"As I entered the little cafe on the north side of town, I smelled freshly baked goods from Le Grand Red Courthouse pastry shop, straight from the oven. When I got to the counter, the hostess brought out a giant flower from the outside of her window, and on the outside of her window another one. Inside her window, a drawing was hanging on her wall, a drawing of a masked woman with what I assume is the Emperor's cup and saucer, her arms crossed. The painting was from a Belgrade cartoon, a great comment on the might of the communist regime."
2153,3737,"As I entered the little cafe on the north side of the mall, where I was greeted by a lit-up sign and greeted by a pink-haired young woman who greeted me, she gave me a big hug. As I took pictures with the bright and colorful hostesses, I asked, ""Is this hostess just here to pretend to help me with my luggage or is she actually helping me?"" The girl in a pink top stepped forward and said, ""As a female, you may have to let other people help you carry your bags. If you'd like to ask them, then you can stand behind the table with your bags."
2112,3737,"As I entered the little cafe on the north side of Cardiff Castle, I tried to ignore the delicious food I was receiving from the lovely staff. Every time I went in, they had something delicious. It was almost like I was in a hole in the ground. I spotted a book by Gerald Scarfe (a Welsh author). He wrote about a boy named Lloyd who ended up in south Wales. I wrote in his book and gave him the address to write to me. I began to read the book and eventually saw the address written on the paper underneath my face."
2215,3838,"It was the hottest day of the year. As Malai complained about how his foot was hurting and begged for a cool drink, me and some of the other customers got up to give him one of those to sate his thirst. What we didn't know, though, is that the glass he was holding was a bulletproof shield. When I picked up the cardboard container, it was home to a bulletproof helmet. The container itself was a bulletproof vest. A young boy, maybe around 11 or 12, was sitting in front of the container when Malai handed it over."
2214,3838,"It was the hottest day of the year. As Malai walked across the parking lot and past a large display of Muslim religious itemssuch as the black skullcap worn by many Lahore University studentsshe encountered the most extreme greeting of the day. ""Yes, this is the place where you should hate Muslims. This is where you should say this is the place where you should hate Hindus and nobody will hate you,"" a young man shouted to her as he jostled with the other shoppers for space. ""That place is where the most of Pakistanis will be."
2212,3838,"It was the hottest day of the year. As Malai went home from the bridge to the house, I asked him what happened. He put down the stone and told me: ""Four days ago the Sun came out, the Moon came out, and the stars came out of the sky."" The reader knows where this ends. The real news is that Malai held a consultation with a well-known elder of a temple in his territory, who prepared a medicine for his problems. I saw the medicine that night in my tent and my feelings for Malai were aroused."
2221,3838,"It was the hottest day of the year. As Malai makes his rounds during the glory period, he notices a small book set on the table. He takes it and opens to the first page. It is a little book, made of thick paper. Malai remembers this back when he was a little boy. He stared at it, curious. He started to read the first chapter and came back. He slowly read it over again and again. It was an exciting journey. We discover that this book is called all things. Malai saw something interesting on the page. A pretty shape."
2189,3838,"It was the hottest day of the year. As Malai Chen, one of the scientists on the team, put it, ""I was about to give up."" The ground that he had worked so hard to plant, work that he said made his family in India proud, was now gone. India is one of the world's largest rice producers, and every year the government of India, through the United Nations' Food and Agriculture Organization, redistributes more than $4 billion of watermelons to countries like Pakistan and Vietnam, even though they are located closer to India's agricultural areas and also have a larger area of fertile rice land."
2275,3939,"It was a stormy Thursday evening, much like any other, the students living in the dormitory for the summer semester, all twenty-one of them, were lying in their beds, half-ass asleep. Still, the last few minutes of the evening passed in silence, three women, warm drinks in hand, just taking a chance to slip away quietly, each for a different reason. ""Umm, Li-be,"" Yang started as the door swung open. ""Yang-Sun is"" ""I know,"" Blake gave her a sly smile, her hand covering her mouth."
2243,3939,"It was a stormy Thursday evening, much like any other, when a wave of tourists crashed into Seattle's North Beach park. Garry Jackson was at the seawall when it was hit hard. He stood on the crowd, which was moving slowly to safety, to see if anyone was injured. ""What they hit was like a tsunami,"" said Jackson. A music festival was taking place on the seawall but organizers changed plans early Friday afternoon to cancel it as more tourists arrived."
2237,3939,"It was a stormy Thursday evening, much like any other, but for one central Ohio family, it turned into a nightmare when their home was swept away by a flash flood. But, while flooding is always terrifying, for some families it's a very real threat. This is when a flash flood can happen in America, when a powerful storm hits, then the water rushes in quickly. Watch the report The Medina Water Department says because of the strong storm, high water washed over the house."
2265,3939,"It was a stormy Thursday evening, much like any other, when I walked down the main street in Fayetteville, N.C. As I was rounding a corner and looking into a boarded-up gas station, I spotted a white pit bull dog running through the parking lot. I was immediately frightened by its unusually large size and horrible demeanor, and so I hopped into my car and sped out of there as fast as my 9-year-old tires would carry me."
2239,3939,"It was a stormy Thursday evening, much like any other, when I finally made it to the hotel. And, as you can imagine, as soon as I woke up to get my bearings, I was ready for my first close-up look at Winston Churchill. Easily one of the most influential and complex men of modern times, Churchill was born in London, the fourth of five children. He entered the Army in 1917 at the age of 21 and rose to the rank of brigadier."
2343,4040,"I had an apartment in the Margareten district. Though the 5-star hotels in town were like islands, here was a crowded, well-maintained area with windows and balconies. There was a courtyard with a family living there. Our thoughts turned to that little scene. Hate Rotten From the time we arrived at the apartment we decided to remove any normal environmental components, things like heater and air conditioner, out of our house. It was not long before we heard a single scream. The neighbors were not far away, but they did not get it immediately. The screams are usually small children who fear something in their house."
2321,4040,"I had an apartment in the Margareten district. Though the risk was obvious to me in Amsterdam, I chose to do it. I chose a big city because I knew I would eventually move, maybe to London. I had planned my career before I bought the house, too. I knew I would be in the arts and for my study, I was going to do music in a major city. But I had to learn quickly. The culture shock began when I moved to London. I realized very quickly that I had to give up all my identities."
2320,4040,"I had an apartment in the Margareten district. Though the night was getting shorter, it was hot. One evening at 6 pm, I had invited some of the neighbors over for a light dinner, which turned into an hour-long game of Scrabble. When we were done, a young man approached me. He looked like he had been walking around a lot lately. His skin was pocked and his eyes made of sandstone. His hair was pulled tight back to hide his colorful silk scarf. The scarf covered his face as he waited to be introduced to my family."
2331,4040,"I had an apartment in the Margareten district. Though the sky had started to grow darker, we knew it was still early in the morning. ""So here's the plan,"" Lei Yu declared as he gazed at his handiwork, ""we'll split up into teams, and we'll take turns hiding. When the sun starts to rise, I'll come out and nab the enemy here with my red-robed Fanatic. Then, once all of you get together, you'll send a distress call. Finally, I'll hide myself with Xuan Yuan Po, and we'll jointly deal with the assassins and the vanguard. Let's get started!"" ""Wait a minute!"
2302,4040,"I had an apartment in the Margareten district. Though the 1960s were much gentler, there was still a lot of racism. I remember seeing a black man sitting outside his home in the evening and I remember thinking, ""Good heavens."" Sticking it to the man R.A.D. designed a line of graffiti art: Ghetto A, a frank depiction of a black man a 'hood thug with the word ""nigger"" written in large black letters on the side of his face. He was the most unusual person in the art school at the time. It was an experimental project with a lot of potential."
2370,4141,"I've been intimately familiar with Dan's since I played my first Pokmon game, which, coincidentally enough, happened to be on the original Gameboy. Pokmon is still my favorite video game of all time, and that means the Nintendo 64 was the system I played the game best. And my first Pokmon was Moltres. To put that in perspective, that's probably more than a half-million people. So, naturally, I was very excited to learn that Dan was thinking about making a Moltres retelling for the SNES."
2412,4141,"I've been intimately familiar with Dan's since I played my first Pokmon game back in the original Generation. He has a lot of good things to say about the game and the characters, but there are also a couple of things he says that I actually agree with and think might be good ideas for Pokmon as a whole. So today I'm talking to you about weird ideas, really, strange ideas that I think are the best ideas to come out of Pokmon."
2375,4141,"I've been intimately familiar with Dan's since I played my first game of Netrunner with him as a member of the Manhattan 4.) I was curious as to how well the top players in the game perform when they are ""out of their comfort zone."" Using an actual level rating (median) from a 24-player tournament last year, I found this table to provide the following statistics. These numbers may not reflect how players perform when playing in highly populated events, where the competitiveness is typically higher."
2388,4141,"I've been intimately familiar with Dan's since I played my first Warhammer 40k tournament with him in the late 80s and early 90s (wars of the future). Most of the people that we ran with back then kept a very close eye on his game mechanics. The big secret at the time was that he was on a fairly tight budget. That may sound like a dis-empowering thing, but it actually made the environment completely different from what we're used to today."
2360,4141,"I've been intimately familiar with Dan's since I played my first game with him, which was a D&D playtest in about 2006. He's been one of my favorite designers ever since, since I discovered his system, Mutant Future, in 1999. Dan will be the lead designer of this game. He's worked on a number of early D&D games, and he's a true wizard, having written a number of long-running world-building supplements as well as countless example D&D adventures. We'll be publishing most of his output in various editions of Mutant Future."
2424,4242,"Paul and Jimmy thought long and hard about what kind of football we should play. But there was no reason for us to give up an already successful start and the stadium to the team from Wisconsin. Also, no one on our staff had ever coached in Washington DC, only on the west coast. And no one wanted to go into a new town without coaching for a while. ""Every other town we have gone to has been done in a fairly short period of time, usually two years or so,"" says Jim Snyder, the tight ends coach for an earlier Washington Redskins team in Washington."
2429,4242,"Paul and Jimmy thought long and hard about what kind of friend and mentor Karl Malone would be. (1:05) Karl Malone had only one job when he was introduced to Magic Johnson at a charity basketball game in Los Angeles in 2007: Greet Magic. Malone, whose goal was to provide Johnson and Johnson's Lakers teammates with ""a little excitement,"" knew this was an opportunity long lost. ""I said, 'Tell Karl I'm a very happy man today. Please let him know,' "" Johnson said. ""I had met John Stockton years before. I was friends with Magic, I thought, but I've never seen him."
2433,4242,"Paul and Jimmy thought long and hard about what kind of music they were making, and from there it was a matter of deciding which angle we wanted to go with first. How'd you decide on a ""Jimmy and the Techs"" angle? Jimmy: We liked the fact that John and Paul were both musicians and we knew that they wanted to be involved with something that would capture the essence of Paul's performance. Paul knew the world of theatrics, and we wanted to replicate that aspect of their performance. Did that also give you a more relaxed approach?"
2451,4242,"Paul and Jimmy thought long and hard about what kind of video they would create and specifically for a company like mine, I said my name over and over so I could be recognizable in this day and age. I guess he figured out that I'm their type of guy. As you guys know, there were certain scenes with two girls with a storyline that we couldn't do on a series. The real thing is that, at that time, I had the role of the protagonist and it was a tough role to crack in the games industry."
2445,4242,"Paul and Jimmy thought long and hard about what kind of people we wanted to bring with us. I am a biological son of Scottish immigrants, and growing up in all the high school Spanish-language classes, we talked about the importance of not letting people forget their roots. It is both a reference to Donald Trump's ill-advised ""Polish Americans"" comment and to the important political, cultural, and social differences among immigrant groups in this country. We didn't want a white kids' show, so our main characters are Latino, Arab, African-American, and an odd Japanese boy who's been living here for a few years."
2524,4343,"Joey had difficulty falling asleep the night before the Columbia tragedy. Knowing that she would have to sleep in the hospital her family had booked her in for, my husband told her to call when she was done. I took her place. Joey could not concentrate on anything without the TV on. She had her pillow and blanket around her head to ""let off some steam"". I could not sleep because I knew she was too frightened to sleep. She kept whispering ""Is he coming home?"". I always hoped he would, and always worried that he would not."
2522,4343,"Joey had difficulty falling asleep the night before the Columbia University hockey game. He gets queasy easily, even after a cup of coffee. So maybe he knew what was coming. He sat bolt upright, his eye rolled into the back of his head. Maybe in that instant, he wondered how many more collisions that night would bring. But it was not until he dropped to the floor,, drooling, that he could truly begin to comprehend what he was facing. All over the suite, things started coming apart. Pipes cracked. Lampclerk's belted goatee fell off. Some wall coverings were bent."
2504,4343,"Joey had difficulty falling asleep the night before the Columbia tragedy. With her family and friends in the house, there were plenty of distractions. ""She stayed up really late,"" Sam said. ""She just couldn't fall asleep. She didn't feel any different. She had done it before."" Jake was awake throughout the day, too. It was more than just the drama of what might happen, from wild claims of fault to all of the details that made the deaths even more tragic. It was also the personal pain. When asked how Joey felt, Michael said, ""For her, she would have been terrified."
2500,4343,"Joey had difficulty falling asleep the night before the Columbia disaster and confessed this to HR. He kept asking HR to let him sleep in an extra hour, to no avail. No-one could do anything to help him get some sleep and probably, none of them were trying to help him anyway. Personally, I would have preferred for him to sleep in his office as a sign of sympathy. He could have at least asked to stay up in his office at 12:30pm and slept until 7pm the next day. Just something to note. I wonder how many times my colleagues saw Joey and said, """
2476,4343,"Joey had difficulty falling asleep the night before the Columbia disaster, and eventually slept for two straight hours. On Saturday morning, after a ten hour ride, he returned to his apartment for the first time in six days. He tore off his black leather jacket and threw it on the floor. He threw his brown pants into the laundry basket, and put on his black hiking boots. He started over. It wasn't easy. ""That morning was the hardest I've ever had to endure,"" he said. The bus had descended to the river's west bank and was standing still in the sludge on its way out."
2595,4444,"The earthworm wriggled, the now-severed halves of its long, purple-and-red body in many disparate places. Meanwhile, Star Butterfly's stomach was continuing to grow... Who had to go first? That night in the church, Twilight had pondered the question over and over again. Over and over. Maybe. But the night grew darker... The light in the sky grew dimmer... The birds died, and the voices of her friends grew so quiet she had no idea how long they had been talking."
2561,4444,"The earthworm wriggled, the now-severed halves of its long, purple-and-red body bobbed up and down. ""What about Her?"" said Tylin. ""I don't know."" The earthworm twitched in the grass. ""I'll be right back."" He hurried back over the peak. He wasn't going to go to the inn anymore. She was coming to see him again, he was sure of that. He turned to go to the inn. He looked up, to see just past him a red glimmer. """
2589,4444,"The earthworm wriggled, the now-severed halves of its long, purple-and-red carapace cared back and forth, before it flew out of sight, bounced down the cliffs, and disappeared into the darkness. There was a weirdness in its gait, which didn't feel right, somehow. And now there was something familiar about the movements. It was like that movements of the farmhand The owner of the land and his crop had arrived. He had picked up the order from a courier, then waited quietly by the window."
2580,4444,"The earthworm wriggled, the now-severed halves of its long, purple-and-red body making a sound like water in a sieve. The castle swayed as Jann was dragged along by the earthworm. The purple sheen on the dark grey stone gave the staircases a speckled appearance. By the time they reached the lowest floor, they were almost dragged down by the earthworm. The wizard grinned as he watched Jann go through the first floor door. ""What are you doing here, boys?"" """
2554,4444,"The earthworm wriggled, the now-severed halves of its long, purple-and-red-striped body bobbed to and fro. ""No,"" the sun-born ogre grunted. ""The bodies are nothing, not of the Earthworm God, not of mortal hands, not even of the Moon God or the Thunder God, neither of the Earthworm God's children. The body is only half. The other half we are now obtaining is hidden within our physical shells, as it were, and they are almost invisible to our physical eyes."
2611,4545,"They turned off the street and started up the narrow trail. I couldn't help it: I became just as excited, but on another level. I had somehow found a way to spend an entire afternoon with the real Vermont, which was exactly the kind of thing I'd been looking for. There were no beds, no couches, no sushi. It was just a trail, a simple path that led up and down side-by-side switchbacks, crossed by shallow streams that carried muddy, brackish water into the surrounding woods. Soaked in the mud, I had to lay my towel down."
2630,4545,"They turned off the street and started up the narrow path to his apartment and as soon as they got there, Sun Yi Xue started getting restless. Although he was polite and asked when they came to request for the horse for entertainment, she only blinked her eyes at him and only said, ""It's late."" How could he not know that she did not want to share the horse with him. ""Please allow me to use the horse in your place,"" he said, touching her shoulder. She replied with a snort, ""You don't need to ask me. You brought the horse here."
2657,4545,"They turned off the street and started up the narrow curving alley way, she waved to her parents as they entered. If she didn't know better, she'd think they were afraid. And that's just how Bella had been trained to be. It had made her much colder, the nerves around her making her face flush with heat. But still the pull to fling her hands into the air in a defiant little wave had never left her. Still there had always been the shadow of the wild huntress that should have been suppressed by the dangers of the city."
2604,4545,"They turned off the street and started up the narrow drive. The noise of rushing footfalls could be heard below them. Reaching the kitchen doors, he stood a few feet away from them, looking out. ""John?"" Mary's voice came from behind him. Without thinking, John turned to look back. ""Oh shit,"" he heard the boy say. He was literally in awe. He stared for a few more moments, his jaw hanging open. He looked down again and saw her standing, a cup of coffee in her hands. ""Mary?"" he said, a second too late. Her eyes widened. ""What's wrong?"" John swallowed. """
2654,4545,"They turned off the street and started up the narrow, tree-lined stairway, following the path to the oubliette, where they had haggled with one of the secret service agents. ""Can't you just light a match?"" thought Ruiz. Then he looked down at his outstretched hand and saw that it was on fire. * * * On the day of the next Washington dinner, the White House weighed whether it should buy the Terracotta Army. By all accounts, the Chinese government was eager to have this reminder of the Great War. The official reason was that the emperor himself was interested."
2701,4646,"Ron Gonzales and I didn't like each other from the beginning, but there were two central differences that at least remained throughout the entire year. The first was Gonzales' setup of the offense. I would really say that he didn't like to call long ball plays. Sure, it was necessary to get pressure on teams, but as your team is winning the ball back, why would you risk scoring a goal if the goal is likely a tie?"
